company_name,score
"MSCI Inc.",0.4651
"Nasdaq, Inc.",-0.1455
"NetApp",-0.2545
"Netflix",0.0858
"Newmont",-0.3671
"News Corp (Class A)",-0.6563
"News Corp (Class B)",0.1216
"NextEra Energy",-0.6531
"Nike, Inc.",0.0773
"NiSource",0.1547
"Nordson Corporation",-0.2866
"Norfolk Southern",0.0911
"Northern Trust",-0.0537
"Northrop Grumman",-0.0885
"Norwegian Cruise Line Holdings",0.0580
"NRG Energy",-0.1185
"Nucor",0.8934
"Nvidia",0.2723
"NVR, Inc.",-0.0035
"NXP Semiconductors",-0.2240
"O’Reilly Automotive",-0.3599
"Occidental Petroleum",0.2098
"Old Dominion",-0.3344
"Omnicom Group",-0.2902
"ON Semiconductor",-0.1753
"Oneok",-0.2727
"Oracle Corporation",-0.0210
"Otis Worldwide",0.0709
"Paccar",0.0861
"Packaging Corporation of America",-0.2536
"Palantir Technologies",0.2003
"Palo Alto Networks",-0.3918
"Paramount Skydance Corporation",0.2345
"Parker Hannifin",0.2604
"Paychex",-0.2425
"Paycom",-0.1939
"PayPal",-0.9204
"Pentair",-0.5084
"PepsiCo",-0.0266
"Pfizer",0.2330
"PG&E Corporation",0.9457
"Philip Morris International",-0.5512
"Phillips 66",-0.5363
"Pinnacle West Capital",0.2960
"PNC Financial Services",-0.0602
"Pool Corporation",-0.1548
"PPG Industries",0.2670
"PPL Corporation",-0.1455
"Principal Financial Group",-0.3053
"Procter & Gamble",-0.8401
"Progressive Corporation",0.2249
"Prologis",-0.8039
"Prudential Financial",0.4334
"PTC Inc.",-0.3059
"Public Service Enterprise Group",0.0981
"Public Storage",-0.9123
"PulteGroup",-0.3203
"Qualcomm",-0.0241
"Quanta Services",-0.2481
"Quest Diagnostics",-0.2643
"Ralph Lauren Corporation",0.3088
"Raymond James Financial",-0.0847
"Realty Income",-0.0796
"Regency Centers",-0.1389
"Regeneron Pharmaceuticals",0.1486
"Regions Financial Corporation",-0.1195
"Republic Services",-0.8954
"ResMed",-0.1347
"Revvity",-0.3070
"Robinhood Markets",-0.1596
"Rockwell Automation",-0.4058
"Rollins, Inc.",0.0890
"Roper Technologies",0.2538
"Ross Stores",-0.3763
"Royal Caribbean Group",-0.1545
"RTX Corporation",0.2092
"S&P Global",0.3897
"Salesforce",-0.1945
"SBA Communications",-0.0434
"Schlumberger",-0.1772
"Seagate Technology",-0.4955
"Sempra",0.8904
"ServiceNow",-0.2345
"Sherwin-Williams",-0.0686
"Simon Property Group",-0.4704
"Skyworks Solutions",0.2138
"Smurfit Westrock",0.1512
"Snap-on",-0.0071
"Solstice Advanced Materials",-0.2011
"Solventum",-0.3322
"Southern Company",-0.3791
"Southwest Airlines",0.2866
"Stanley Black & Decker",0.0633
"Starbucks",-0.0182
"State Street Corporation",-0.9220
"Steel Dynamics",-0.1799
"Steris",-0.8365
"Stryker Corporation",0.2356
"Supermicro",-0.4085
"Synchrony Financial",1.0000
"Synopsys",-0.0412
"Sysco",-0.1006
"T-Mobile US",0.5733
"T. Rowe Price",0.0710
"Take-Two Interactive",0.3060
"Tapestry, Inc.",-0.0454
"Targa Resources",0.1537
"Target Corporation",-0.2033
"TE Connectivity",0.1954
"Teledyne Technologies",-0.0494
"Teradyne",0.0768
"Tesla, Inc.",-0.4071
"Texas Instruments",-0.6000
"Texas Pacific Land Corporation",-0.2547
"Textron",0.2024
"Thermo Fisher Scientific",-0.3777
"TJX Companies",-0.3661
"TKO Group Holdings",-0.0807
"Tractor Supply",-0.5432
"Trade Desk (The)",0.1063
"Trane Technologies",-0.2801
"TransDigm Group",-0.5011
"Travelers Companies (The)",0.0785
"Trimble Inc.",0.5650
"Truist Financial",-0.0774
"Tyler Technologies",-0.1027
"Tyson Foods",0.0933
"U.S. Bancorp",-0.2576
"Uber",-0.1966
"UDR, Inc.",-0.9055
"Ulta Beauty",0.9391
"Union Pacific Corporation",-0.5958
"United Airlines Holdings",-0.4197
"United Parcel Service",-0.6388
"United Rentals",-0.2589
"UnitedHealth Group",-0.2672
"Universal Health Services",0.2828
"Valero Energy",-0.0023
"Ventas",-0.1464
"Veralto",-0.6797
"Verisign",-0.1579
"Verisk Analytics",-0.3252
"Verizon",0.0094
"Vertex Pharmaceuticals",-1.0000
"Viatris",-0.0554
"Vici Properties",-0.9944
"Visa Inc.",-0.5815
"Vistra Corp.",0.0767
"Vulcan Materials Company",-0.8236
"W. R. Berkley Corporation",-0.0282
"W. W. Grainger",-0.1123
"Wabtec",0.2441
"Walmart",-0.1751
"Walt Disney Company (The)",-0.5108
"Warner Bros. Discovery",0.8962
"Waste Management",-0.0811
"Waters Corporation",-0.2438
"WEC Energy Group",0.1485
"Wells Fargo",0.2172
"Welltower",0.2721
"West Pharmaceutical Services",-0.2007
"Western Digital",0.5572
"Weyerhaeuser",0.3328
"Williams Companies",0.0907
"Williams-Sonoma, Inc.",-0.3302
"Willis Towers Watson",-0.8808
"Workday, Inc.",-0.1119
"Wynn Resorts",0.5193
"Xcel Energy",-0.4965
"Xylem Inc.",-0.2536
"Yum! Brands",0.1094
